,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0,-114.31,34.19,15.0,5612.0,1283.0,1015.0,472.0,1493.6000000000001,66900.0
1,-114.47,34.4,19.0,7650.0,1901.0,1129.0,463.0,1820.0,80100.0
2,-114.56,33.69,17.0,720.0,174.0,333.0,117.0,1650.9,85700.0
3,-114.57,33.64,14.0,1501.0,337.0,515.0,226.0,3191.7,73400.0
4,-114.57,33.57,20.0,1454.0,326.0,624.0,262.0,1925.0,65500.0
5,-114.58,33.63,29.0,1387.0,236.0,671.0,239.0,3343.7999999999997,74000.0
6,-114.58,33.61,25.0,2907.0,680.0,1841.0,633.0,2676.8,82400.0
7,-114.59,34.83,41.0,812.0,168.0,375.0,158.0,1708.3,48500.0
8,-114.59,33.61,34.0,4789.0,1175.0,3134.0,1056.0,2178.2,58400.0
9,-114.6,34.83,46.0,1497.0,309.0,787.0,271.0,2190.7999999999997,48100.0
10,-114.6,33.62,16.0,3741.0,801.0,2434.0,824.0,2679.7,86500.0
11,-114.6,33.6,21.0,1988.0,483.0,1182.0,437.0,1625.0,62000.0
12,-114.61,34.84,48.0,1291.0,248.0,580.0,211.0,2157.1,48600.0
13,-114.61,34.83,31.0,2478.0,464.0,1346.0,479.0,3212.0,70400.0
14,-114.63,32.76,15.0,1448.0,378.0,949.0,300.0,858.5,45000.0
15,-114.65,34.89,17.0,2556.0,587.0,1005.0,401.0,1699.1000000000001,69100.0
16,-114.65,33.6,28.0,1678.0,322.0,666.0,256.0,2965.3,94900.0
17,-114.65,32.79,21.0,44.0,33.0,64.0,27.0,857.1,25000.0
18,-114.66,32.74,17.0,1388.0,386.0,775.0,320.0,1204.9,44000.0
19,-114.67,33.92,17.0,97.0,24.0,29.0,15.0,1265.6000000000001,27500.0
20,-114.68,33.49,20.0,1491.0,360.0,1135.0,303.0,1639.5,44400.0
21,-114.73,33.43,24.0,796.0,243.0,227.0,139.0,896.4,59200.0
22,-114.94,34.55,20.0,350.0,95.0,119.0,58.0,1625.0,50000.0
23,-114.98,33.82,15.0,644.0,129.0,137.0,52.0,3209.7000000000003,71300.0
24,-115.22,33.54,18.0,1706.0,397.0,3424.0,283.0,1625.0,53500.0
25,-115.32,32.82,34.0,591.0,139.0,327.0,89.0,3652.8,100000.0
26,-115.37,32.82,30.0,1602.0,322.0,1130.0,335.0,3573.5,71100.0
27,-115.37,32.82,14.0,1276.0,270.0,867.0,261.0,1937.5,80900.0
28,-115.37,32.81,32.0,741.0,191.0,623.0,169.0,1760.3999999999999,68600.0
30,-115.38,32.82,38.0,1892.0,394.0,1175.0,374.0,1993.9,65800.0
31,-115.38,32.81,35.0,1263.0,262.0,950.0,241.0,1895.8,67500.0
32,-115.39,32.76,16.0,1136.0,196.0,481.0,185.0,6255.8,146300.0
33,-115.4,32.86,19.0,1087.0,171.0,649.0,173.0,3318.2,113800.0
34,-115.4,32.7,19.0,583.0,113.0,531.0,134.0,1683.8,95800.0
35,-115.41,32.99,29.0,1141.0,220.0,684.0,194.0,3403.7999999999997,107800.0
36,-115.46,33.19,33.0,1234.0,373.0,777.0,298.0,1000.0,40000.0
37,-115.48,32.8,21.0,1260.0,246.0,805.0,239.0,2617.2,88500.0
38,-115.48,32.68,15.0,3414.0,666.0,2097.0,622.0,2331.9,91200.0
39,-115.49,32.87,19.0,541.0,104.0,457.0,106.0,3358.2999999999997,102800.0
40,-115.49,32.69,17.0,1960.0,389.0,1691.0,356.0,1899.0,64000.0
41,-115.49,32.67,29.0,1523.0,440.0,1302.0,393.0,1131.1,84700.0
42,-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1375.0,70100.0
43,-115.5,32.75,13.0,330.0,72.0,822.0,64.0,3410.7,142500.0
44,-115.5,32.68,18.0,3631.0,913.0,3565.0,924.0,1593.1,88400.0
45,-115.5,32.67,35.0,2159.0,492.0,1694.0,475.0,2177.6,75500.0
46,-115.51,33.24,32.0,1995.0,523.0,1069.0,410.0,1655.2,43300.0
47,-115.51,33.12,21.0,1024.0,218.0,890.0,232.0,2101.0,46700.0
48,-115.51,32.99,20.0,1402.0,287.0,1104.0,317.0,1908.8,63700.0
49,-115.51,32.68,11.0,2872.0,610.0,2644.0,581.0,2625.0,72700.0
50,-115.52,34.22,30.0,540.0,136.0,122.0,63.0,1333.3,42500.0
51,-115.52,33.13,18.0,1109.0,283.0,1006.0,253.0,2163.0,53400.0
52,-115.52,33.12,38.0,1327.0,262.0,784.0,231.0,1879.3,60800.0
53,-115.52,32.98,32.0,1615.0,382.0,1307.0,345.0,1458.3,58600.0
54,-115.52,32.97,24.0,1617.0,366.0,1416.0,401.0,1975.0,66400.0
55,-115.52,32.97,10.0,1879.0,387.0,1376.0,337.0,1991.1000000000001,67500.0
56,-115.52,32.77,18.0,1715.0,337.0,1166.0,333.0,2241.7,79200.0
57,-115.52,32.73,17.0,1190.0,275.0,1113.0,258.0,2357.1,63100.0
58,-115.52,32.67,6.0,2804.0,581.0,2807.0,594.0,2062.5,67700.0
59,-115.53,34.91,12.0,807.0,199.0,246.0,102.0,2539.1,40000.0
60,-115.53,32.99,25.0,2578.0,634.0,2082.0,565.0,1715.9,62200.0
61,-115.53,32.97,35.0,1583.0,340.0,933.0,318.0,2406.2999999999997,70700.0
62,-115.53,32.97,34.0,2231.0,545.0,1568.0,510.0,1521.7,60300.0
63,-115.53,32.73,14.0,1527.0,325.0,1453.0,332.0,1735.0,61200.0
64,-115.54,32.99,23.0,1459.0,373.0,1148.0,388.0,1537.1999999999998,69400.0
65,-115.54,32.99,17.0,1697.0,268.0,911.0,254.0,4352.299999999999,96000.0
66,-115.54,32.98,27.0,1513.0,395.0,1121.0,381.0,1946.3999999999999,60600.0
67,-115.54,32.97,41.0,2429.0,454.0,1188.0,430.0,3009.1,70800.0
68,-115.54,32.79,23.0,1712.0,403.0,1370.0,377.0,1275.0,60400.0
69,-115.55,32.98,33.0,2266.0,365.0,952.0,360.0,5434.9,143000.0
70,-115.55,32.98,24.0,2565.0,530.0,1447.0,473.0,3259.3,80800.0
71,-115.55,32.82,34.0,1540.0,316.0,1013.0,274.0,2566.3999999999996,67500.0
72,-115.55,32.8,23.0,666.0,142.0,580.0,160.0,2113.6,61000.0
73,-115.55,32.79,23.0,1004.0,221.0,697.0,201.0,1635.1,59600.0
74,-115.55,32.79,22.0,565.0,162.0,692.0,141.0,1208.3,53600.0
75,-115.55,32.78,5.0,2652.0,606.0,1767.0,536.0,2802.5,84300.0
76,-115.56,32.96,21.0,2164.0,480.0,1164.0,421.0,3817.7,107200.0
77,-115.56,32.8,28.0,1672.0,416.0,1335.0,397.0,1598.7,59400.0
79,-115.56,32.8,15.0,1171.0,328.0,1024.0,298.0,1388.2,69400.0
80,-115.56,32.79,20.0,2372.0,835.0,2283.0,767.0,1170.7,62500.0
81,-115.56,32.79,18.0,1178.0,438.0,1377.0,429.0,1337.3,58300.0
82,-115.56,32.78,46.0,2511.0,490.0,1583.0,469.0,3060.2999999999997,70800.0
83,-115.56,32.78,35.0,1185.0,202.0,615.0,191.0,4615.400000000001,86200.0
84,-115.56,32.78,29.0,1568.0,283.0,848.0,245.0,3159.7,76200.0
85,-115.56,32.76,15.0,1278.0,217.0,653.0,185.0,4482.1,140300.0
86,-115.57,32.85,33.0,1365.0,269.0,825.0,250.0,3239.6,62300.0
87,-115.57,32.85,17.0,1039.0,256.0,728.0,246.0,1741.1000000000001,63500.0
88,-115.57,32.84,29.0,1207.0,301.0,804.0,288.0,1953.1000000000001,61100.0
89,-115.57,32.83,31.0,1494.0,289.0,959.0,284.0,3528.2,67500.0
90,-115.57,32.8,16.0,2276.0,594.0,1184.0,513.0,1875.0,93800.0
91,-115.57,32.79,34.0,1152.0,208.0,621.0,208.0,3604.2000000000003,73600.0
92,-115.57,32.78,20.0,1534.0,235.0,871.0,222.0,6271.5,97200.0
93,-115.57,32.78,15.0,1413.0,279.0,803.0,277.0,4302.1,87500.0
94,-115.58,33.88,21.0,1161.0,282.0,724.0,186.0,3182.7000000000003,71700.0
95,-115.58,32.81,5.0,805.0,143.0,458.0,143.0,4475.0,96300.0
96,-115.58,32.81,10.0,1088.0,203.0,533.0,201.0,3659.7,87500.0
97,-115.58,32.79,14.0,1687.0,507.0,762.0,451.0,1663.5,64400.0
98,-115.58,32.78,5.0,2494.0,414.0,1416.0,421.0,5784.3,110100.0
99,-115.59,32.85,20.0,1608.0,274.0,862.0,248.0,4875.0,90800.0
100,-115.59,32.79,8.0,2183.0,307.0,1000.0,287.0,6381.400000000001,159900.0
101,-115.59,32.69,30.0,935.0,177.0,649.0,148.0,2576.9,94400.0
102,-115.6,33.2,37.0,709.0,187.0,390.0,142.0,2451.1,72500.0
103,-115.6,32.87,3.0,1629.0,317.0,1005.0,312.0,4129.3,83200.0
104,-115.62,33.04,20.0,1121.0,244.0,766.0,230.0,2296.9,62000.0
105,-115.62,33.04,17.0,1009.0,231.0,745.0,217.0,2046.3,61200.0
106,-115.64,32.8,23.0,1228.0,235.0,569.0,235.0,3166.7000000000003,125000.0
107,-115.69,32.79,18.0,1564.0,340.0,1161.0,343.0,2179.2,55200.0
108,-115.72,32.75,16.0,348.0,99.0,123.0,54.0,2093.7999999999997,87500.0
109,-115.73,33.36,19.0,749.0,238.0,476.0,169.0,1772.7,50000.0
110,-115.73,33.35,23.0,1586.0,448.0,338.0,182.0,1213.2,30000.0
111,-115.73,33.09,27.0,452.0,103.0,258.0,61.0,2900.0,87500.0
112,-115.73,32.8,44.0,472.0,81.0,206.0,57.0,2208.2999999999997,93800.0
114,-115.84,33.49,20.0,1660.0,379.0,637.0,250.0,2034.7,68900.0
